sa2_code_2021,Private 4 profit%,Fee per hr,Fee growth%,% fee above cap,Low quality%,On track%,Prenatal visits%,Low b/weight%,Age4 enr%,Reg/remote%,Indig%,SEIFA %,cluster
504021053,18.18,10.53,6.36561235533721,11.1111111111111,9.090909090909092,47.10000000000001,95.5,10.1,110.9375,0,4.315659679408138,0.69,3
504021054,37.5,10.53,6.36561235533721,11.1111111111111,12.5,51.2,95.5,10.1,90,0,13.56968215158924,0.34,2
504031056,25,10.86,5.97800958689393,7.31707317073171,0,57.4,95.4,6.6,106.35593220338984,0,3.2749428789032753,0.44,3
504031057,26.67,10.86,5.97800958689393,7.31707317073171,0,50.8,95.4,6.6,95.0413223140496,0,3.9795918367346936,0.41,3
504031058,33.33,10.86,5.97800958689393,7.31707317073171,0,58.20000000000001,95.4,6.6,87.6923076923077,100,3.233830845771144,0.54,3
504031060,0,10.86,5.97800958689393,7.31707317073171,0,48.40000000000001,95.4,6.6,86.95652173913044,100,0,0.79,3
504031061,0,10.86,5.97800958689393,7.31707317073171,0,65.4,95.4,6.6,117.10526315789474,0,3.1779661016949152,0.61,3
504031062,42.86,10.86,5.97800958689393,7.31707317073171,0,52.7,95.4,6.6,109.66183574879227,0,5.537974683544303,0.43,3
504031065,33.33,10.86,5.97800958689393,7.31707317073171,33.33333333333333,53,95.4,6.6,89.47368421052632,0,10.569105691056912,0.33,3
504031066,44.44,10.86,5.97800958689393,7.31707317073171,11.11111111111111,69.7,95.4,6.6,87.25490196078431,0,9.569377990430622,0.26,3
504031067,33.33,10.86,5.97800958689393,7.31707317073171,0,54.1,95.4,6.6,107.21649484536083,0,12.849162011173185,0.43,3
504031068,33.33,10.86,5.97800958689393,7.31707317073171,0,56.20000000000002,95.4,6.6,95.87155963302753,0,8.028545941123996,0.8,3
505011070,55.56,11.47,5.26207907496199,14.8936170212766,0,57.8,94.3,4.6,101.35135135135135,0,2.1379980563654035,0.55,3
505011071,50,11.47,5.26207907496199,14.8936170212766,0,68.9,94.3,4.6,98.01324503311258,0,0.5530973451327433,0.76,3
505011072,44.44,11.47,5.26207907496199,14.8936170212766,11.11111111111111,72.6,94.3,4.6,100.54347826086956,0,0.6216696269982238,0.91,3
505011073,50,11.47,5.26207907496199,14.8936170212766,0,78.39999999999999,94.3,4.6,104.57142857142858,0,1.5252621544327931,0.73,3
505011074,28.57,11.47,5.26207907496199,14.8936170212766,14.285714285714285,56.10000000000001,94.3,4.6,119.64285714285714,0,3.821656050955414,0.69,3
505011075,16.67,11.47,5.26207907496199,14.8936170212766,16.666666666666664,71.3,94.3,4.6,98.4126984126984,0,1.8211920529801324,0.93,3
505011076,100,11.47,5.26207907496199,14.8936170212766,0,62.1,94.3,4.6,98.05825242718447,0,0.6036217303822937,0.99,3
505011077,30.77,11.47,5.26207907496199,14.8936170212766,7.6923076923076925,71.3,94.3,4.6,107.57575757575756,0,0.7352941176470588,0.7,3
505011078,10,11.47,5.26207907496199,14.8936170212766,0,78.59999999999998,94.3,4.6,104.51612903225806,0,1.7921146953405016,0.79,3
505011079,33.33,11.47,5.26207907496199,14.8936170212766,16.666666666666664,77,94.3,4.6,110.00000000000001,0,1.0189228529839884,0.88,3
505011080,16.67,11.47,5.26207907496199,14.8936170212766,0,50,94.3,4.6,98.68421052631578,0,2.4390243902439024,0.89,3
505011081,25,11.47,5.26207907496199,14.8936170212766,8.333333333333332,69.29999999999998,94.3,4.6,97.5,0,1.8867924528301887,0.7,3
505011082,0,11.47,5.26207907496199,14.8936170212766,0,77.3,94.3,4.6,110.18518518518519,0,1.436265709156194,0.95,3
505011083,20,11.47,5.26207907496199,14.8936170212766,0,59.4,94.3,4.6,102.97029702970298,0,1.996007984031936,0.87,3
505021084,62.5,12.2,5.06972003605452,44.4444444444444,6.25,53,97.4,6.3,90.25641025641026,0,1.507537688442211,0.55,1
505021085,21.43,12.2,5.06972003605452,44.4444444444444,7.142857142857142,41.8,97.4,6.3,95.85798816568047,0,4.183467741935484,0.08,3
505021088,55.56,12.2,5.06972003605452,44.4444444444444,11.11111111111111,63.9,97.4,6.3,100,0,1.2056737588652482,0.78,1
505021089,50,12.2,5.06972003605452,44.4444444444444,0,70.3,97.4,6.3,103.921568627451,0,1.268742791234141,0.93,1
505021090,27.27,12.2,5.06972003605452,44.4444444444444,0,46.3,97.4,6.3,90.2439024390244,0,2.939545202440377,0.36,3
505021092,50,12.2,5.06972003605452,44.4444444444444,0,71,97.4,6.3,98.80952380952381,0,1.521555367709214,0.85,1
505021093,85.71,12.2,5.06972003605452,44.4444444444444,14.285714285714285,60,97.4,6.3,94.73684210526315,0,1.4428412874583796,0.75,1
505021094,0,12.2,5.06972003605452,44.4444444444444,0,67.69999999999999,97.4,6.3,94.31818181818183,0,0,0.88,1
505021095,33.33,12.2,5.06972003605452,44.4444444444444,0,49.5,97.4,6.3,81.74603174603175,0,1.799775028121485,0.61,1
505021096,42.86,12.2,5.06972003605452,44.4444444444444,0,67.59999999999998,97.4,6.3,90.64327485380117,0,0.3389830508474576,0.95,1
505021097,33.33,12.2,5.06972003605452,44.4444444444444,0,61.6,97.4,6.3,97.0059880239521,0,1.0794896957801767,0.74,1
505031098,16.67,10.97,6.150658193067,2.89855072463768,0,54.400000000000006,90.3,6.7,94.70198675496688,0,6.025492468134415,0.22,3
505031099,43.75,10.97,6.150658193067,2.89855072463768,0,52.6,90.3,6.7,101.48809523809523,0,5.103092783505154,0.38,3
505031100,45.45,10.97,6.150658193067,2.89855072463768,0,55.60000000000001,90.3,6.7,104.10094637223975,0,3.7815126050420167,0.64,3
505031101,55.56,10.97,6.150658193067,2.89855072463768,0,55.3,90.3,6.7,96.81818181818181,0,3.524904214559387,0.46,3
505031102,12.5,10.97,6.150658193067,2.89855072463768,0,42.10000000000001,90.3,6.7,107.14285714285714,0,9.06474820143885,0.06,2
505031104,50,10.97,6.150658193067,2.89855072463768,0,53.6,90.3,6.7,101.78571428571428,0,5.228758169934641,0.32,3
505031105,57.14,10.97,6.150658193067,2.89855072463768,0,62.2,90.3,6.7,105.63380281690141,0,3.39652448657188,0.79,3
505031107,33.33,10.97,6.150658193067,2.89855072463768,0,54.29999999999999,90.3,6.7,104.11764705882354,0,2.005730659025788,0.76,3
505031255,60,10.97,6.150658193067,2.89855072463768,0,59.5,90.3,6.7,103.81944444444444,0,2.084507042253521,0.71,3
505031257,33.33,10.97,6.150658193067,2.89855072463768,0,62.5,90.3,6.7,127.45098039215685,100,11.76470588235294,0.38,2
